Gene_Locus_ID,Gene_Symbol,Gene_Function,Uniprot_ID,GO_Terms,eggNOG,COG_ID,COG_Category,KEGG_Pathway
PA0011,,(RefSeq) lipid A biosynthesis lauroyl acyltransferase,Q9I7B5,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; cellular response to antibiotic [GO:0071236]; cellular response to heat [GO:0034605]; cellular response to osmotic stress [GO:0071470]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]",NA,NA,NA,"Lipopolysaccharide biosynthesis, Metabolic pathways"
PA0012,NA,NA,Q9I7B4,cyclic-di-GMP binding [GO:0035438],NA,NA,NA,NA
PA0013,NA,NA,Q9I7B3,integral component of plasma membrane [GO:0005887]; transmembrane transporter activity [GO:0022857]; queuosine salvage [GO:1990397],NA,NA,NA,NA
PA0014,NA,NA,Q9I7B2,NA,NA,NA,NA,NA
PA0015,NA,NA,Q9I7B1,NA,NA,NA,NA,NA
PA0016,NA,NA,Q9I7B0,plasma membrane [GO:0005886]; potassium ion transmembrane transporter activity [GO:0015079]; potassium ion transport [GO:0006813],NA,COG0569,,"NA, NA"
PA0017,NA,NA,Q9I7A9,"cytosol [GO:0005829]; RNA binding [GO:0003723]; rRNA (cytosine-C5-)-methyltransferase activity [GO:0009383]; regulation of transcription, DNA-templated [GO:0006355]; RNA methylation [GO:0001510]; rRNA base methylation [GO:0070475]",NA,NA,NA,NA
PA0018,fmt,(RefSeq) methionyl-tRNA formyltransferase,O85732,cytosol [GO:0005829]; methionyl-tRNA formyltransferase activity [GO:0004479]; conversion of methionyl-tRNA to N-formyl-methionyl-tRNA [GO:0071951]; regulation of transmembrane transporter activity [GO:0022898],NA,NA,NA,"One carbon pool by folate, Aminoacyl-tRNA biosynthesis, Metabolic pathways"
PA0019,NA,NA,Q9I7A8,metal ion binding [GO:0046872]; peptide deformylase activity [GO:0042586]; co-translational protein modification [GO:0043686]; N-terminal protein amino acid modification [GO:0031365]; peptidyl-methionine modification [GO:0018206]; translation [GO:0006412],NA,NA,NA,NA
PA0020,NA,NA,Q9I7A7,NA,NA,NA,NA,NA
PA0021,NA,NA,Q9I7A6,DNA mediated transformation [GO:0009294],NA,NA,NA,NA
PA0022,NA,NA,Q9I7A5,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; L-threonylcarbamoyladenylate synthase [GO:0061710]; nucleotidyltransferase activity [GO:0016779]; tRNA binding [GO:0000049]; regulation of translational fidelity [GO:0006450]; tRNA threonylcarbamoyladenosine modification [GO:0002949],NA,COG0009,tRNA modification,NA
PA0023,NA,NA,P43903,cytoplasm [GO:0005737]; cytosol [GO:0005829]; NADPH:quinone reductase activity [GO:0003960]; zinc ion binding [GO:0008270]; cellular response to oxidative stress [GO:0034599],NA,COG0604,,NA
PA0024,hemF,(RefSeq) coproporphyrinogen III oxidase,P43898,cytoplasm [GO:0005737]; coproporphyrinogen oxidase activity [GO:0004109]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; protoporphyrinogen IX biosynthetic process [GO:0006782],NA,NA,NA,"Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
PA0025,aroE,(RefSeq) shikimate dehydrogenase,P43904,cytosol [GO:0005829]; NADP binding [GO:0050661]; shikimate 3-dehydrogenase (NADP+) activity [GO:0004764]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; shikimate metabolic process [GO:0019632],NA,NA,NA,"Phenylalanine, tyrosine and tryptophan biosynthesis, Biosynthesis of various plant secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
PA0026,NA,NA,Q9I7A4,lipase activity [GO:0016298]; phospholipase C activity [GO:0004629]; zinc ion binding [GO:0008270]; chemotaxis [GO:0006935]; protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952],NA,NA,NA,NA
PA0027,NA,NA,Q9I7A3,peptidyl-prolyl cis-trans isomerase activity [GO:0003755],NA,NA,NA,NA
PA0028,NA,NA,Q9I7A2,NA,NA,NA,NA,NA
PA0029,NA,NA,Q9I7A1,integral component of plasma membrane [GO:0005887]; anion:anion antiporter activity [GO:0015301]; secondary active sulfate transmembrane transporter activity [GO:0008271],NA,COG0659,,NA
PA0030,,(RefSeq) hypothetical protein,Q9I7A0,ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; choline binding [GO:0033265]; sulfur compound transmembrane transporter activity [GO:1901682]; choline biosynthetic process [GO:0042425]; choline transport [GO:0015871],NA,COG2113,,ABC transporters
PA0031,NA,NA,Q9I799,sulfuric ester hydrolase activity [GO:0008484],NA,NA,NA,NA
PA0032,NA,NA,Q9I798,"DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription, DNA-templated [GO:0006351]",NA,COG0583,,NA
PA0032a,NA,NA,NA,NA,NA,COG3805,,NA
PA0033,NA,NA,Q9I797,protein kinase activity [GO:0004672]; phosphorelay signal transduction system [GO:0000160],NA,COG2198,,NA
PA0034,,(RefSeq) two-component response regulator,P24908,"DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG2197,,Two-component system
PA0035,trpA,(RefSeq) tryptophan synthase subunit alpha,P07344,cytosol [GO:0005829]; tryptophan synthase activity [GO:0004834]; tryptophan biosynthetic process [GO:0000162],NA,NA,NA,"Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
PA0036,trpB,(RefSeq) tryptophan synthase subunit beta,P07345,cytoplasm [GO:0005737]; tryptophan synthase activity [GO:0004834]; tryptophan biosynthetic process [GO:0000162],NA,NA,NA,"Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
PA0037,NA,NA,P11720,"protein-DNA complex [GO:0032993]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; positive regulation of cellular amino acid biosynthetic process [GO:2000284]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; tryptophan biosynthetic process [GO:0000162]",NA,COG0583,,NA
PA0038,NA,NA,Q9I794,NA,NA,NA,NA,NA
PA0039,NA,NA,Q9I793,NA,NA,NA,NA,NA
PA0040,NA,NA,Q9I792,cell outer membrane [GO:0009279]; type V protein secretion system complex [GO:0098046]; protein transmembrane transporter activity [GO:0008320]; protein secretion by the type V secretion system [GO:0046819],NA,COG2831,,NA
PA0041,NA,NA,Q9I791,cytoplasm [GO:0005737]; tRNA-specific ribonuclease activity [GO:0004549],NA,NA,NA,NA
PA0041a,NA,NA,NA,NA,NA,COG1943,,NA
PA0042,NA,NA,Q9I790,NA,NA,NA,NA,NA
PA0043,NA,NA,Q9I789,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,NA,NA
PA0044,NA,NA,Q9I788,extracellular region [GO:0005576]; GTPase activator activity [GO:0005096]; NAD+-protein-arginine ADP-ribosyltransferase activity [GO:0106274]; NADP+-protein-arginine ADP-ribosyltransferase activity [GO:0106275]; toxin activity [GO:0090729],NA,COG5585,,NA
PA0045,NA,NA,Q9I787,outer membrane-bounded periplasmic space [GO:0030288],NA,COG1462,,NA
PA0046,NA,NA,Q9I786,NA,NA,NA,NA,NA
PA0047,NA,NA,Q9I785,NA,NA,NA,NA,NA
PA0048,NA,NA,Q9I784,DNA binding [GO:0003677],NA,COG1396,,NA
PA0049,NA,NA,Q9I783,NA,NA,NA,NA,NA
PA0050,NA,NA,Q9I782,NA,NA,NA,NA,NA
PA0051,phzH,(RefSeq) phenazine-modifying protein,Q9I781,asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; asparagine biosynthetic process [GO:0006529]; glutamine metabolic process [GO:0006541],NA,NA,NA,"Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
PA0052,NA,NA,Q9I780,NA,NA,COG1917,,NA
PA0054,NA,NA,Q9I778,"NAD+ ADP-ribosyltransferase activity [GO:0003950]; tRNA 2'-phosphotransferase activity [GO:0000215]; tRNA processing [GO:0008033]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]",NA,COG1859,,NA
PA0055,NA,NA,Q9I777,NA,NA,COG3812,,NA
PA0056,NA,NA,Q9I776,"DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription, DNA-templated [GO:0006351]",NA,COG0583,,NA
PA0057,NA,NA,Q9I775,NA,NA,COG0491,,NA
PA0058,NA,NA,Q9I774,oxidoreductase activity [GO:0016491],NA,COG3531,,NA
PA0059,NA,NA,Q9I773,peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979],NA,COG1764,,NA
PA0060,NA,NA,Q9I772,NA,NA,NA,NA,NA
PA0061,NA,NA,Q9I771,NA,NA,NA,NA,NA
PA0062,NA,NA,Q9I770,NA,NA,NA,NA,NA
PA0063,NA,NA,Q9I769,NA,NA,NA,NA,NA
PA0064,NA,NA,Q9I768,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0065,,(RefSeq) 5'-nucleotidase,Q9I767,cytosol [GO:0005829]; 5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; protein tyrosine kinase activity [GO:0004713],NA,COG0546,,"Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
PA0066,NA,NA,Q9I766,NA,NA,COG0663,,NA
PA0067,NA,NA,Q9I765,metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptide metabolic process [GO:0006518]; proteolysis [GO:0006508],NA,NA,NA,NA
PA0068,NA,NA,Q9I764,NA,NA,COG3529,,NA
PA0069,NA,NA,Q9I763,"4 iron, 4 sulfur cluster binding [GO:0051539]; catalytic activity [GO:0003824]; metal ion binding [GO:0046872]",NA,NA,NA,NA
PA0070,NA,NA,Q9I762,NA,NA,NA,NA,NA
PA0071,NA,NA,Q9I761,NA,NA,COG1262,,NA
PA0072,NA,NA,Q9I760,integral component of membrane [GO:0016021]; plasma membrane protein complex [GO:0098797]; lipoprotein localization to outer membrane [GO:0044874],NA,NA,NA,NA
PA0073,NA,NA,Q9I759,plasma membrane [GO:0005886]; ATP binding [GO:0005524]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085],NA,COG1136,,NA
PA0074,ppkA,(RefSeq) serine/threonine protein kinase PpkA,Q9I758,ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; positive regulation of protein secretion [GO:0050714],NA,COG0515,,"Bacterial secretion system, Biofilm formation - Pseudomonas aeruginosa"
PA0075,pppA,(RefSeq) serine/threonine phosphatase,Q9I757,protein serine/threonine phosphatase activity [GO:0004722]; negative regulation of protein secretion [GO:0050709]; protein dephosphorylation [GO:0006470],NA,COG0631,,"Bacterial secretion system, Biofilm formation - Pseudomonas aeruginosa"
PA0076,,(RefSeq) hypothetical protein,Q9I756,NA,NA,COG3913,,Biofilm formation - Pseudomonas aeruginosa
PA0077,icmF1,(RefSeq) type VI secretion protein IcmF,Q9I755,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,COG3523,,"Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
PA0078,,(RefSeq) hypothetical protein,Q9I754,integral component of membrane [GO:0016021],NA,COG1360,,Bacterial secretion system
PA0079,,(RefSeq) hypothetical protein,Q9I753,NA,NA,COG3522,,Biofilm formation - Pseudomonas aeruginosa
PA0080,,(RefSeq) hypothetical protein,Q9I752,NA,NA,COG3521,,Bacterial secretion system
PA0081,fha1,(RefSeq) Fha domain-containing protein,Q9I751,ubiquitin-protein transferase activity [GO:0004842]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511],NA,NA,NA,"Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
PA0082,,(RefSeq) hypothetical protein,Q9I750,type VI protein secretion system complex [GO:0033104],NA,COG3515,,Biofilm formation - Pseudomonas aeruginosa
PA0083,,(RefSeq) hypothetical protein,Q9I749,NA,NA,COG3516,,Biofilm formation - Pseudomonas aeruginosa
PA0084,,(RefSeq) hypothetical protein,Q9I748,NA,NA,COG3517,,Biofilm formation - Pseudomonas aeruginosa
PA0085,hcp1,(RefSeq) protein secretion apparatus assembly protein,Q9I747,extracellular region [GO:0005576]; identical protein binding [GO:0042802],NA,NA,NA,"Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
PA0086,NA,NA,Q9I746,NA,NA,NA,NA,NA
PA0087,NA,NA,Q9I745,cytoplasm [GO:0005737],NA,COG3518,,NA
PA0088,NA,NA,Q9I744,NA,NA,COG3519,,NA
PA0089,,(RefSeq) hypothetical protein,Q9I743,NA,NA,COG3520,,Biofilm formation - Pseudomonas aeruginosa
PA0090,clpV1,(RefSeq) secretion protein ClpV1,Q9I742,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],NA,COG0542,,"Bacterial secretion system, Biofilm formation - Pseudomonas aeruginosa"
PA0091,vgrG1,(RefSeq) type VI secretion system protein VgrG,Q9I741,extracellular region [GO:0005576]; type VI protein secretion system complex [GO:0033104]; protein secretion by the type VI secretion system [GO:0033103],NA,COG3501,,Bacterial secretion system
PA0092,NA,NA,Q9I740,toxin sequestering activity [GO:0097351]; protein secretion by the type VI secretion system [GO:0033103],NA,NA,NA,NA
PA0093,NA,NA,Q9I739,integral component of membrane [GO:0016021]; NAD glycohydrolase activity [GO:0061810]; NAD(P)+ nucleosidase activity [GO:0050135]; toxin sequestering activity [GO:0097351]; protein secretion by the type VI secretion system [GO:0033103],NA,NA,NA,NA
PA0094,NA,NA,Q9I738,NA,NA,COG5435,,NA
PA0095,,(RefSeq) hypothetical protein,Q9I737,extracellular region [GO:0005576]; type VI protein secretion system complex [GO:0033104]; protein secretion by the type VI secretion system [GO:0033103],NA,COG3501,,Bacterial secretion system
PA0096,NA,NA,Q9I736,NA,NA,NA,NA,NA
PA0097,NA,NA,Q9I735,NA,NA,COG5351,,NA
PA0098,,(RefSeq) 3-oxoacyl-ACP synthase,Q9I734,acyltransferase activity [GO:0016746],NA,COG0304,Fatty acid biosynthesis,"Metabolic pathways, Fatty acid metabolism, Fatty acid biosynthesis, Biosynthesis of cofactors, Biotin metabolism"
PA0099,NA,NA,Q9I733,deoxyribonuclease I activity [GO:0004530]; protein secretion by the type VI secretion system [GO:0033103],NA,NA,NA,NA
PA0100,NA,NA,Q9I732,NA,NA,NA,NA,NA
PA0101,NA,NA,Q9I731,NA,NA,NA,NA,NA
PA0102,,(RefSeq) carbonic anhydrase,Q9I730,carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbon utilization [GO:0015976]; cyanate catabolic process [GO:0009440],NA,NA,NA,"Nitrogen metabolism, Metabolic pathways"
PA0103,NA,NA,Q9I729,integral component of membrane [GO:0016021]; fumarate transmembrane transporter activity [GO:0015138]; L-aspartate transmembrane transporter activity [GO:0015183]; secondary active sulfate transmembrane transporter activity [GO:0008271]; succinate transmembrane transporter activity [GO:0015141]; fumarate transport [GO:0015741]; succinate transmembrane transport [GO:0071422],NA,COG0659,,NA
PA0105,coxB,(RefSeq) cytochrome C oxidase subunit II,Q9I727,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; respirasome [GO:0070469]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; ATP synthesis coupled electron transport [GO:0042773],NA,COG2010,,"Metabolic pathways, Oxidative phosphorylation"
PA0106,coxA,(RefSeq) cytochrome C oxidase subunit I,Q9I726,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]; respiratory electron transport chain [GO:0022904],NA,NA,NA,"Oxidative phosphorylation, Metabolic pathways"
PA0107,,(RefSeq) cytochrome C oxidase assembly protein,Q9I725,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; copper ion binding [GO:0005507],NA,NA,NA,"Oxidative phosphorylation, Metabolic pathways"
PA0108,coIII,(RefSeq) cytochrome C oxidase subunit III,Q9I724,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cytochrome-c oxidase activity [GO:0004129]; electron transfer activity [GO:0009055]; oxidoreduction-driven active transmembrane transporter activity [GO:0015453]; aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060],NA,COG1845,,"Oxidative phosphorylation, Metabolic pathways"
PA0109,NA,NA,Q9I723,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0110,NA,NA,Q9I722,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,NA,NA
PA0111,NA,NA,Q9I721,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0112,,(RefSeq) hypothetical protein,Q9I720,"integral component of membrane [GO:0016021]; oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor [GO:0016653]; heme A biosynthetic process [GO:0006784]",NA,NA,NA,"Oxidative phosphorylation, Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors, Two-component system"
PA0113,,(RefSeq) protoheme IX farnesyltransferase,Q9I719,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; farnesyltranstransferase activity [GO:0004311]; protoheme IX farnesyltransferase activity [GO:0008495]; cellular respiration [GO:0045333]; heme biosynthetic process [GO:0006783]; heme O biosynthetic process [GO:0048034],NA,NA,NA,"Oxidative phosphorylation, Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
PA0114,NA,NA,Q9I718,NA,NA,COG1999,,NA
PA0115,NA,NA,Q9I717,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; N-acetyltransferase activity [GO:0008080]",NA,COG2153,,NA
PA0116,NA,NA,Q9I716,NA,NA,NA,NA,NA
PA0117,NA,NA,Q9I715,oxidoreductase activity [GO:0016491],NA,COG0300,,NA
PA0118,NA,NA,Q9I714,peroxisome [GO:0005777]; 2-hydroxychromene-2-carboxylate isomerase activity [GO:0018845]; glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; glutathione metabolic process [GO:0006749]; naphthalene catabolic process [GO:1901170],NA,COG3917,,NA
PA0119,,(RefSeq) C4-dicarboxylate transporter DctA,Q9I713,integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; fumarate transmembrane transporter activity [GO:0015138]; malate:proton symporter activity [GO:0015366]; succinate transmembrane transporter activity [GO:0015141]; transmembrane transporter activity [GO:0022857]; L-aspartate transmembrane transport [GO:0070778],NA,COG1301,,Two-component system
PA0120,NA,NA,Q9I712,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],NA,COG2186,,NA
PA0121,NA,NA,Q9I711,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],NA,COG1802,,NA
PA0122,NA,NA,Q9I710,glycolipid binding [GO:0051861]; hemolysis by symbiont of host erythrocytes [GO:0019836],NA,NA,NA,NA
PA0123,NA,NA,Q9I709,"DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription, DNA-templated [GO:0006351]",NA,COG0583,,NA
PA0124,NA,NA,Q9I708,NA,NA,NA,NA,NA
PA0125,NA,NA,Q9I707,"regulation of transcription, DNA-templated [GO:0006355]",NA,COG3905,,NA
PA0126,NA,NA,Q9I706,NA,NA,NA,NA,NA
PA0127,NA,NA,Q9I705,response to desiccation [GO:0009269],NA,COG5608,,NA
PA0128,NA,NA,Q9I704,cytosol [GO:0005829],NA,COG2824,,NA
PA0129,NA,NA,Q9I703,integral component of membrane [GO:0016021]; gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; beta-alanine biosynthetic process [GO:0019483],NA,COG1113,,NA
PA0130,,(RefSeq) 3-oxopropanoate dehydrogenase,Q9I702,malonate-semialdehyde dehydrogenase (acetylating) activity [GO:0018478]; methylmalonate-semialdehyde dehydrogenase (acylating) activity [GO:0004491]; beta-alanine biosynthetic process [GO:0019483]; thymine catabolic process [GO:0006210]; valine catabolic process [GO:0006574],NA,COG1012,Proline degradation,"Metabolic pathways, Valine, leucine and isoleucine degradation, Propanoate metabolism, Carbon metabolism, beta-Alanine metabolism, Inositol phosphate metabolism"
PA0131,NA,NA,Q9I701,beta-alanine biosynthetic process [GO:0019483],NA,NA,NA,NA
PA0132,,(RefSeq) beta alanine--pyruvate transaminase,Q9I700,adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; beta-alanine-pyruvate transaminase activity [GO:0016223]; pyridoxal phosphate binding [GO:0030170]; beta-alanine biosynthetic process [GO:0019483]; biotin biosynthetic process [GO:0009102],NA,NA,NA,"Valine, leucine and isoleucine degradation, beta-Alanine metabolism, Propanoate metabolism, Metabolic pathways"
PA0133,NA,NA,Q9I6Z9,"DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; positive regulation of catabolic process [GO:0009896]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA0134,,(RefSeq) guanine deaminase,Q9I6Z8,cytosol [GO:0005829]; deaminase activity [GO:0019239]; guanine deaminase activity [GO:0008892]; zinc ion binding [GO:0008270]; guanine catabolic process [GO:0006147]; guanine metabolic process [GO:0046098],NA,NA,NA,"Purine metabolism, Metabolic pathways, Nucleotide metabolism"
PA0135,NA,NA,Q9I6Z7,NA,NA,NA,NA,NA
PA0136,,(RefSeq) ABC transporter ATP-binding protein,Q9I6Z6,ATP binding [GO:0005524],NA,COG3845,,ABC transporters
PA0137,,(RefSeq) ABC transporter permease,Q9I6Z5,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857],NA,NA,NA,ABC transporters
PA0138,,(RefSeq) ABC transporter permease,Q9I6Z4,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857],NA,NA,NA,ABC transporters
PA0139,NA,NA,Q9I6Z3,cytosol [GO:0005829]; alkylhydroperoxide reductase activity [GO:0102039]; peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]; cell redox homeostasis [GO:0045454]; response to oxidative stress [GO:0006979],NA,COG0450,,NA
PA0140,NA,NA,Q9I6Z2,alkyl hydroperoxide reductase activity [GO:0008785]; flavin adenine dinucleotide binding [GO:0050660]; NAD binding [GO:0051287]; response to reactive oxygen species [GO:0000302],NA,NA,NA,NA
PA0141,,(RefSeq) hypothetical protein,Q9I6Z1,polyphosphate kinase activity [GO:0008976]; ATP biosynthetic process [GO:0006754],NA,NA,NA,"Oxidative phosphorylation, RNA degradation"
PA0142,NA,NA,Q9I6Z0,cytosol [GO:0005829]; 8-oxoguanine deaminase activity [GO:0102127]; deaminase activity [GO:0019239]; metal ion binding [GO:0046872],NA,NA,NA,NA
PA0143,NA,NA,Q9I6Y9,cytosol [GO:0005829]; purine nucleosidase activity [GO:0008477]; uridine nucleosidase activity [GO:0045437]; purine nucleoside catabolic process [GO:0006152]; purine nucleotide metabolic process [GO:0006163],NA,COG1957,Pyrimidine salvage,NA
PA0144,NA,NA,Q9I6Y8,deoxyribonucleoside 5'-monophosphate N-glycosidase activity [GO:0070694]; deoxyribonucleoside monophosphate catabolic process [GO:0009159],NA,NA,NA,NA
